Symbol	Name	Comment	Position	Elevation	Date Modified	Date Created	Link	Temperature	Proximity	Display Type	Categories
	"145"	"28-AUG-21 15:52:51"	"N61° 13.974' W45° 29.755'"	"28 ft"	"30/08/2021, 11.00"	"30/08/2021, 11.00"	""	""	""	"Symbol and Name"	""
	"146"	"28-AUG-21 15:55:25"	"N61° 13.969' W45° 29.759'"	"23 ft"	"30/08/2021, 11.00"	"30/08/2021, 11.00"	""	""	""	"Symbol and Name"	""
	"147"	"28-AUG-21 15:55:27"	"N61° 13.970' W45° 29.759'"	"23 ft"	"30/08/2021, 11.00"	"30/08/2021, 11.00"	""	""	""	"Symbol and Name"	""
	"148"	"29-AUG-21 13:04:12"	"N61° 14.088' W45° 29.814'"	"-22 ft"	"30/08/2021, 11.00"	"30/08/2021, 11.00"	""	""	""	"Symbol and Name"	""
	"149"	"29-AUG-21 13:07:18"	"N61° 14.090' W45° 29.811'"	"4 ft"	"30/08/2021, 11.00"	"30/08/2021, 11.00"	""	""	""	"Symbol and Name"	""
	"150"	"29-AUG-21 13:10:21"	"N61° 14.090' W45° 29.808'"	"19 ft"	"30/08/2021, 11.00"	"30/08/2021, 11.00"	""	""	""	"Symbol and Name"	""
	"151"	"29-AUG-21 13:12:42"	"N61° 14.093' W45° 29.807'"	"16 ft"	"30/08/2021, 11.00"	"30/08/2021, 11.00"	""	""	""	"Symbol and Name"	""
	"152"	"29-AUG-21 13:22:01"	"N61° 14.093' W45° 29.808'"	"30 ft"	"30/08/2021, 11.00"	"30/08/2021, 11.00"	""	""	""	"Symbol and Name"	""
	"153"	"29-AUG-21 13:22:33"	"N61° 14.092' W45° 29.810'"	"27 ft"	"30/08/2021, 11.00"	"30/08/2021, 11.00"	""	""	""	"Symbol and Name"	""
	"154"	"29-AUG-21 13:23:20"	"N61° 14.094' W45° 29.803'"	"37 ft"	"30/08/2021, 11.00"	"30/08/2021, 11.00"	""	""	""	"Symbol and Name"	""
	"155"	"29-AUG-21 13:24:14"	"N61° 14.094' W45° 29.798'"	"37 ft"	"30/08/2021, 11.00"	"30/08/2021, 11.00"	""	""	""	"Symbol and Name"	""
	"156"	"29-AUG-21 13:24:46"	"N61° 14.094' W45° 29.800'"	"37 ft"	"30/08/2021, 11.00"	"30/08/2021, 11.00"	""	""	""	"Symbol and Name"	""
	"157"	"29-AUG-21 13:25:54"	"N61° 14.094' W45° 29.802'"	"39 ft"	"30/08/2021, 11.00"	"30/08/2021, 11.00"	""	""	""	"Symbol and Name"	""
	"158"	"29-AUG-21 13:27:06"	"N61° 14.093' W45° 29.805'"	"32 ft"	"30/08/2021, 11.00"	"30/08/2021, 11.00"	""	""	""	"Symbol and Name"	""
	"159"	"29-AUG-21 13:32:15"	"N61° 14.095' W45° 29.805'"	"39 ft"	"30/08/2021, 11.00"	"30/08/2021, 11.00"	""	""	""	"Symbol and Name"	""
	"160"	"29-AUG-21 13:33:25"	"N61° 14.092' W45° 29.803'"	"39 ft"	"30/08/2021, 11.00"	"30/08/2021, 11.00"	""	""	""	"Symbol and Name"	""
	"161"	"29-AUG-21 13:34:55"	"N61° 14.091' W45° 29.804'"	"38 ft"	"30/08/2021, 11.00"	"30/08/2021, 11.00"	""	""	""	"Symbol and Name"	""
	"162"	"29-AUG-21 13:36:02"	"N61° 14.089' W45° 29.802'"	"39 ft"	"30/08/2021, 11.00"	"30/08/2021, 11.00"	""	""	""	"Symbol and Name"	""
	"163"	"29-AUG-21 13:37:49"	"N61° 14.093' W45° 29.803'"	"38 ft"	"30/08/2021, 11.00"	"30/08/2021, 11.00"	""	""	""	"Symbol and Name"	""
	"164"	"29-AUG-21 13:38:20"	"N61° 14.094' W45° 29.806'"	"37 ft"	"30/08/2021, 11.00"	"30/08/2021, 11.00"	""	""	""	"Symbol and Name"	""
	"165"	"29-AUG-21 13:40:38"	"N61° 14.094' W45° 29.801'"	"48 ft"	"30/08/2021, 11.00"	"30/08/2021, 11.00"	""	""	""	"Symbol and Name"	""
	"166"	"29-AUG-21 13:41:18"	"N61° 14.095' W45° 29.810'"	"44 ft"	"30/08/2021, 11.00"	"30/08/2021, 11.00"	""	""	""	"Symbol and Name"	""
	"167"	"29-AUG-21 13:44:45"	"N61° 14.096' W45° 29.808'"	"37 ft"	"30/08/2021, 11.00"	"30/08/2021, 11.00"	""	""	""	"Symbol and Name"	""
	"168"	"29-AUG-21 13:47:38"	"N61° 14.094' W45° 29.805'"	"35 ft"	"30/08/2021, 11.00"	"30/08/2021, 11.00"	""	""	""	"Symbol and Name"	""
	"169"	"29-AUG-21 13:48:36"	"N61° 14.097' W45° 29.807'"	"40 ft"	"30/08/2021, 11.00"	"30/08/2021, 11.00"	""	""	""	"Symbol and Name"	""
	"170"	"29-AUG-21 13:53:16"	"N61° 14.095' W45° 29.804'"	"41 ft"	"30/08/2021, 11.00"	"30/08/2021, 11.00"	""	""	""	"Symbol and Name"	""
	"171"	"29-AUG-21 13:56:39"	"N61° 14.097' W45° 29.804'"	"43 ft"	"30/08/2021, 11.00"	"30/08/2021, 11.00"	""	""	""	"Symbol and Name"	""
	"172"	"29-AUG-21 13:57:23"	"N61° 14.097' W45° 29.809'"	"39 ft"	"30/08/2021, 11.00"	"30/08/2021, 11.00"	""	""	""	"Symbol and Name"	""
	"173"	"29-AUG-21 14:11:23"	"N61° 14.099' W45° 29.805'"	"41 ft"	"30/08/2021, 11.00"	"30/08/2021, 11.00"	""	""	""	"Symbol and Name"	""
	"174"	"29-AUG-21 14:11:28"	"N61° 14.099' W45° 29.805'"	"42 ft"	"30/08/2021, 11.00"	"30/08/2021, 11.00"	""	""	""	"Symbol and Name"	""
